#,Species,Lab image count,number used,train,validation
1,Maclura pomifera,424,400,360,40
2,Ulmus rubra,268,250,225,25
3,Acer rubrum,252,250,225,25
4,Broussonettia papyrifera,240,240,216,24
5,Ptelea trifoliata,220,220,198,22
6,Ilex opaca,216,210,189,21
7,Abies concolor,200,200,180,20
8,Asimina triloba,200,200,180,20
9,Diospyros virginiana,200,200,180,20
10,Ulmus americana,200,200,180,20
11,Acer negundo,196,190,171,19
12,Quercus montana,188,180,162,18
13,Liriodendron tulipifera,184,180,162,18
14,Ostrya virginiana,184,180,162,18
15,Catalpa bignonioides,172,170,153,17
16,Cercis canadensis,172,170,153,17
17,Chionanthus virginicus,172,170,153,17
18,Platanus occidentalis,168,160,144,16
19,Staphylea trifolia,168,160,144,16
20,Quercus alba,160,160,144,16
21,Acer saccharum,159,150,135,15
22,Gleditsia triacanthos,152,150,135,15
23,Acer saccharinum,148,140,126,14
24,Carpinus caroliniana,148,140,126,14
25,Carya cordiformis,148,140,126,14
26,Juglans nigra,148,140,126,14
27,Tilia americana,144,140,126,14
28,Morus alba,128,120,108,12
29,Prunus serotina,128,120,108,12
30,Salix caroliniana,128,120,108,12
31,Abies nordmanniana,124,120,108,12
32,Aesculus pavi,124,120,108,12
33,Cornus florida,124,120,108,12
34,Morus rubra,124,120,108,12
35,Pinus flexilis,124,120,108,12
36,Pinus peucea,124,120,108,12
37,Quercus bicolor,124,120,108,12
38,Robinia pseudo-acacia,124,120,108,12
39,Acer ginnala,120,120,108,12
40,Acer palmatum,120,120,108,12
41,Acer pensylvanicum,120,120,108,12
42,Acer platanoides,120,120,108,12
43,Acer pseudoplatanus,120,120,108,12
44,Aesculus glabra,120,120,108,12
45,Aesculus hippocastamon,120,120,108,12
46,Amelanchier canadensis,120,120,108,12
47,Amelanchier laevis,120,120,108,12
48,Betula alleghaniensis,120,120,108,12
49,Betula jacqemontii,120,120,108,12
50,Betula lenta,120,120,108,12
51,Betula nigra,120,120,108,12
52,Betula populifolia,120,120,108,12
53,Carpinus betulus,120,120,108,12
54,Carya ovata,120,120,108,12
55,Carya tomentosa,120,120,108,12
56,Castanea dentata,120,120,108,12
57,Catalpa speciosa,120,120,108,12
58,Cedrus libani,120,120,108,12
59,Celtis tenuifolia,120,120,108,12
60,Chamaecyparis pisifera,120,120,108,12
61,Chamaecyparis thyoides,120,120,108,12
62,Chionanthus retusus,120,120,108,12
63,Cornus kousa,120,120,108,12
64,Cornus mas,120,120,108,12
65,Crataegus laevigata,120,120,108,12
66,Crataegus phaenopyrum,120,120,108,12
67,Crataegus pruinosa,120,120,108,12
68,Crataegus viridis,120,120,108,12
69,Eucommia ulmoides,120,120,108,12
70,Ficus carica,120,120,108,12
71,Fraxinus nigra,120,120,108,12
72,Fraxinus pennsylvanica,120,120,108,12
73,Ginkgo biloba,120,120,108,12
74,Gymnocladus dioicus,120,120,108,12
75,Halesia tetraptera,120,120,108,12
76,Juglans cinerea,120,120,108,12
77,Koelreuteria paniculata,120,120,108,12
78,Larix decidua,120,120,108,12
79,Liquidambar styraciflua,120,120,108,12
80,Magnolia acuminata,120,120,108,12
81,Magnolia denudata,120,120,108,12
82,Magnolia grandiflora,120,120,108,12
83,Magnolia macrophylla,120,120,108,12
84,Magnolia stellata,120,120,108,12
85,Magnolia tripetala,120,120,108,12
86,Magnolia virginiana,120,120,108,12
87,Malus baccata,120,120,108,12
88,Malus coronaria,120,120,108,12
89,Malus floribunda,120,120,108,12
90,Malus hupehensis,120,120,108,12
91,Malus pumila,120,120,108,12
92,Metasequoia glyptostroboides,120,120,108,12
93,Nyssa sylvatica,120,120,108,12
94,Oxydendrum arboreum,120,120,108,12
95,Paulownia tomentosa,120,120,108,12
96,Phellodendron amurense,120,120,108,12
97,Picea abies,120,120,108,12
98,Picea orientalis,120,120,108,12
99,Picea pungens,120,120,108,12
100,Pinus bungeana,120,120,108,12
101,Pinus cembra,120,120,108,12
102,Pinus densiflora,120,120,108,12
103,Pinus echinata,120,120,108,12
104,Pinus nigra,120,120,108,12
105,Pinus parviflora,120,120,108,12
106,Pinus pungens,120,120,108,12
107,Pinus resinosa,120,120,108,12
108,Pinus rigida,120,120,108,12
109,Pinus strobus,120,120,108,12
110,Pinus sylvestris,120,120,108,12
111,Pinus taeda,120,120,108,12
112,Pinus thunbergii,120,120,108,12
113,Pinus virginiana,120,120,108,12
114,Pinus wallichiana,120,120,108,12
115,Platanus acerifolia,120,120,108,12
116,Populus deltoides,120,120,108,12
117,Populus grandidentata,120,120,108,12
118,Populus tremuloides,120,120,108,12
119,Prunus pensylvanica,120,120,108,12
120,Prunus sargentii,120,120,108,12
121,Prunus serrulata,120,120,108,12
122,Prunus subhirtella,120,120,108,12
123,Prunus virginiana,120,120,108,12
124,Prunus yedoensis,120,120,108,12
125,Pyrus calleryana,120,120,108,12
126,Quercus acutissima,120,120,108,12
127,Quercus cerris,120,120,108,12
128,Quercus coccinea,120,120,108,12
129,Quercus macrocarpa,120,120,108,12
130,Quercus marilandica,120,120,108,12
131,Quercus michauxii,120,120,108,12
132,Quercus muehlenbergii,120,120,108,12
133,Quercus nigra,120,120,108,12
134,Quercus palustris,120,120,108,12
135,Quercus phellos,120,120,108,12
136,Quercus shumardii,120,120,108,12
137,Quercus stellata,120,120,108,12
138,Quercus velutina,120,120,108,12
139,Quercus virginiana,120,120,108,12
140,Salix babylonica,120,120,108,12
141,Salix nigra,120,120,108,12
142,Stewartia pseudocamellia,120,120,108,12
143,Styrax japonica,120,120,108,12
144,Tilia cordata,120,120,108,12
145,Tilia europaea,120,120,108,12
146,Tilia tomentosa,120,120,108,12
147,Tsuga canadensis,120,120,108,12
148,Ulmus parvifolia,120,120,108,12
149,Ulmus procera,120,120,108,12
150,Ulmus pumila,120,120,108,12
151,Zelkova serrata,120,120,108,12
152,Cercidiphyllum japonicum,119,110,99,11
153,Cladrastis lutea,119,110,99,11
154,Aesculus flava,116,110,99,11
155,Albizia julibrissin,116,110,99,11
156,Fagus grandifolia,116,110,99,11
157,Pinus koraiensis,116,110,99,11
158,Pseudolarix amabilis,116,110,99,11
159,Quercus imbricaria,116,110,99,11
160,Quercus robur,116,110,99,11
161,Salix matsudana,116,110,99,11
162,Taxodium distichum,116,110,99,11
163,Celtis occidentalis,112,110,99,11
164,Sassafras albidum,112,110,99,11
165,Acer campestre,108,100,90,10
166,Ailanthus altissima,104,100,90,10
167,Ulmus glabra,104,100,90,10
168,Crataegus crus-galli,103,100,90,10
169,Carya glabra,100,100,90,10
170,Amelanchier arborea,88,80,72,8
